file,label,en-US,cs-CZ,ru-RU,ja-JP
table.js,table.who,Who,Kdo,,誰
table.js,table.workflow,Workflow,Pracovní postup,,ワークフロー
table.js,table.workflows,Workflows,Pracovní postupy :),,ワークフロー
table.js,table.workflows-mini,W,PP,,W
tabs.js,Alert,Alert,Poplach,,警戒
tabs.js,Authlabels,Authlabels,Autorizační značky,,認証ラベル
tabs.js,ClassInfo,Class Info,Info o třídě,,クラス情報
tabs.js,Code,Code,Kód,,コード
tabs.js,Config,Config,Konfigurace,,構成
tabs.js,Datasources,Datasources,Zdroje dat,,データソース
tabs.js,DefaultLoggers,Default Loggers,Základní loggery,,デフォルトのロガー
tabs.js,Detail,Detail,Detaily,,詳細
tabs.js,Diagram,Diagram,Diagram,,図
tabs.js,Events,Events,Události,,イベント
tabs.js,Http,HTTP,HTTP,,HTTP
tabs.js,Instances,Instances,Instance,,インスタンス
tabs.js,Log,Log,Záznam,,ログ
tabs.js,Mappers,Mappers,Mappery,,マッパー
tabs.js,Methods,Methods,Metody,,方法
tabs.js,Monitoring,Monitoring,Monitorování,,モニタリング
tabs.js,More...,More...,Více...,,もっと...
tabs.js,Ongoing,Ongoing,Trvající,,継続中
tabs.js,OrderStats,Order Stats,Statistiky objednávek,,注文統計
tabs.js,Orders,Orders,Objednávky,,ご注文
tabs.js,Overview,Overview,Přehled,,概要
tabs.js,Performance,Performance,Výkon,,性能
tabs.js,Permissions,Permissions,Povolení,,許可
tabs.js,Process,Process,Proces,,処理する
tabs.js,Resourcefiles,Resource files,Soubory zdrojů,,リソースファイル
tabs.js,Resources,Resources,Zdroje,,資源
tabs.js,Roles,Roles,Role,,役割
tabs.js,Settings,Settings,Nastavení,,設定
tabs.js,Sources,Sources,Zdroje,,ソース
tabs.js,StepInfo,StepInfo,Info o kroku,,ステップ情報
tabs.js,Steps,Steps,Kroky,,手順
tabs.js,Transient,Transient,Proběhlé,,一時的
tabs.js,User,User,Uživatel,,ユーザー
tabs.js,Users,Users,Uživatelé,,ユーザー
tabs.js,Workflow,Workflow,Pracovní postup,,ワークフロー
tree.js,tree.collapse-all,Collapse all,Skrýt všechno,,すべて折りたたむ
tree.js,tree.copy-view,Copy view,Textový pohled,,ビューをコピー
tree.js,tree.edit-mode,Edit mode,Editační mód,,編集モード
tree.js,tree.expand-all,Expand all,Rozšířit všechno,,すべて展開
tree.js,tree.loading-data,Loading data...,Načítání dat...,,データのロード...
tree.js,tree.posting-new-staticdata,Posting new staticdata replaces original content and it can be fatal for business processing.,Poslání nových dat přepíše původní obsah a může být fatální pro business processing.,,新しい静的データを投稿すると、元のコンテンツが置き換えられ、ビジネス処理にとって致命的になる可能性があります。
tree.js,tree.show-types,Show types,Ukazovat typy,,タイプを表示
tree.js,tree.tree-view,Tree view,Stromový pohled,,ツリー表示
tree.js,tree.update-data,Update data,Upravit data,,データを更新する
user.js,user.clear-storage,Clear storage,Vyčistit úložiště,,ストレージをクリア
user.js,user.member-of-def-grp,Member of DEFAULT group with no restrictions; all interfaces are accessible,Člen skupiny DEFAULT bez omezení; všechny jednotky jsou přístupné,,制限のないDEFAULTグループのメンバー。すべてのインターフェースにアクセス可能
user.js,user.storage-data,Storage data,Data v úložišti,,ストレージデータ
